"Notes"	"Cancer Sites"	"Cancer Sites Code"	"Age Group"	"Age Group Code"	"Sex"	"Sex Code"	"Race"	"Race Code"	"Ethnicity"	"Ethnicity Code"	Count	Population	Crude Rate
	"Respiratory System"	"22010-22060"	"< 1 year"	"1"	"Female"	"F"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	20	3990767	0.50
	"Respiratory System"	"22010-22060"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"Hispanic"	"2135-2"	28	5837558	0.48
	"Respiratory System"	"22010-22060"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	138	14664864	0.94
	"Respiratory System"	"22010-22060"	"< 1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	25	4121421	0.61
	"Respiratory System"	"22010-22060"	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"Hispanic"	"2135-2"	36	6065343	0.59
	"Respiratory System"	"22010-22060"	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	193	15426985	1.25
	"Respiratory System"	"22010-22060"	"1-4 years"	"1-4"	"Female"	"F"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	49	15908167	0.31
	"Respiratory System"	"22010-22060"	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	"Hispanic"	"2135-2"	59	22066067	0.27
	"Respiratory System"	"22010-22060"	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	198	59498357	0.33
	"Respiratory System"	"22010-22060"	"1-4 years"	"1-4"	"Male"	"M"	"Black or African American"	"2054-5"	"Non-Hispanic"	"2186-5"	36	16429628	0.22
	"Respiratory System"	"22010-22060"	"1-4 years"	"1-4"	"Male"	"M"	"White"	"2106-3"	"Hispanic"	"2135-2"	54	23013396	0.23
	"Respiratory System"	"22010-22060"	"1-4 years"	"1-4"	"Male"	"M"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	193	62545821	0.31
	"Respiratory System"	"22010-22060"	"5-9 years"	"5-9"	"Female"	"F"	"White"	"2106-3"	"Hispanic"	"2135-2"	22	25494284	0.09
	"Respiratory System"	"22010-22060"	"5-9 years"	"5-9"	"Female"	"F"	"White"	"2106-3"	"Non-Hispanic"	"2186-5"	72	77686472	0.09
